persona_slug,mode,plan,model,n,mean_words,p95_words,fm_over_rate,std_over_rate,persona_lexicon_rate,universal_lexicon_rate,anti_flex_rate,modern_leak_rate,would_correct_rate,errors,ends_q_rate,no_opening_rate,stance_observation_rate,stance_any_rate
lao_tzu,deep,pro,claude-sonnet-4-6,3,62.0,106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6667,0.0,0.0
lao_tzu,standard,free,claude-haiku-4-5-20251001,7,88.6,109,1.0,1.0,0.1429,0.0,0.0,0.0,0.1429,0,0.7143,0.1429,0.0,0.7143
lao_tzu,standard,pro,claude-sonnet-4-6,7,49.3,59,1.0,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7143,0.0,0.2857
marcus_aurelius,deep,free,claude-haiku-4-5-20251001,3,157.0,210,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,0.6667
marcus_aurelius,deep,pro,claude-sonnet-4-6,3,62.0,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.0
marcus_aurelius,standard,free,claude-haiku-4-5-20251001,7,96.0,130,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.2857,0.0,0.5714
marcus_aurelius,standard,pro,claude-sonnet-4-6,7,57.4,63,1.0,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.0,0.0
miyamoto_musashi,deep,free,claude-haiku-4-5-20251001,3,138.7,182,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,1.0
miyamoto_musashi,deep,pro,claude-sonnet-4-6,3,72.0,81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.0
miyamoto_musashi,standard,free,claude-haiku-4-5-20251001,7,112.1,141,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.1429,0.0,0.5714
miyamoto_musashi,standard,pro,claude-sonnet-4-6,7,67.3,79,1.0,0.1429,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.1429,0.0,0.1429
niccolo_machiavelli,deep,free,claude-haiku-4-5-20251001,3,183.7,196,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.0,1.0
niccolo_machiavelli,deep,pro,claude-sonnet-4-6,3,85.3,137,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0.3333,0.3333,0.3333,1.0
niccolo_machiavelli,standard,free,claude-haiku-4-5-20251001,7,113.6,126,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.0,0.0,0.4286
niccolo_machiavelli,standard,pro,claude-sonnet-4-6,7,65.6,71,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.4286,0.5714,0.0,0.4286
oscar_wilde,deep,free,claude-haiku-4-5-20251001,3,154.7,175,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0
oscar_wilde,deep,pro,claude-sonnet-4-6,3,77.0,96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.6667
oscar_wilde,standard,free,claude-haiku-4-5-20251001,7,107.6,162,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.4286,0.2857,0.1429,0.8571
oscar_wilde,standard,pro,claude-sonnet-4-6,7,62.6,72,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.2857,0.1429,0.4286
sigmund_freud,deep,free,claude-haiku-4-5-20251001,3,152.7,187,1.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.6667,1.0
sigmund_freud,deep,pro,claude-sonnet-4-6,3,56.3,61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.3333,0.3333,0.6667
sigmund_freud,standard,free,claude-haiku-4-5-20251001,7,97.6,112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.1429,0.1429,0.5714
sigmund_freud,standard,pro,claude-sonnet-4-6,7,61.1,69,1.0,0.7143,0.0,0.0,0.0,0.0,0.0,0,0.1429,0.7143,0.4286,0.5714
simone_de_beauvoir,deep,free,claude-haiku-4-5-20251001,3,149.3,204,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.3333,1.0
simone_de_beauvoir,deep,pro,claude-sonnet-4-6,3,91.0,142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.0,0.0,0.6667
simone_de_beauvoir,standard,free,claude-haiku-4-5-20251001,7,120.9,139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.1429,0.5714
simone_de_beauvoir,standard,pro,claude-sonnet-4-6,7,78.1,86,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.5714,0.1429,0.2857,0.4286
socrates,deep,free,claude-haiku-4-5-20251001,3,72.7,92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,0.3333
socrates,deep,pro,claude-sonnet-4-6,3,43.7,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.3333,0.3333
socrates,standard,free,claude-haiku-4-5-20251001,7,73.0,95,1.0,0.8571,0.0,0.0,0.0,0.0,0.0,0,0.8571,0.0,0.0,0.5714
socrates,standard,pro,claude-sonnet-4-6,7,57.6,77,1.0,0.5714,0.0,0.0,0.0,0.0,0.0,0,0.7143,0.1429,0.2857,0.7143
